sample	raw	merge	clean	orward	reverse
1001	273419 80192 17842 17833 17720
1003	624832 120044 16251 16240 16179
1015	726587 131956 22342 22330 22238
1029	722197 163048 28781 28773 28621
1036	480892 113052 18650 18643 18577
1037	647027 130085 19540 19524 19425
1039	675593 139131 22827 22815 22726
1042	558567 119313 26658 26635 26478
1043	565134 102666 15215 15208 15135
1048	844495 210785 33230 33217 33077
1053	714563 139966 23616 23595 23492
1075	610893 118626 22183 22166 22066
1078	778128 146343 25074 25060 24953
1080	823607 163630 32253 32240 32134
1082	787967 188269 38203 38183 38055
1086	530125 117437 19718 19704 19617
1090	293742 67203 13852 13838 13752
1091	457505 85579 10915 10905 10869
1096	830961 153708 20425 20413 20331
1103	705024 175119 37294 37274 37124
1106	307376 54311 10439 10430 10354
1107	596138 123220 20424 20407 20335
1111	540825 84466 9925 9915 9858
1117	356129 82057 16649 16638 16532
1126	225763 33905 4652 4647 4609
1148	613274 102386 14441 14434 14380
1177	617005 118798 14203 14188 14115
1193	591100 125749 28053 28033 27843
1219	559337 158037 33018 32994 32763
1222	537439 132771 28553 28537 28367
1230	419405 114648 28714 28697 28564
1262	618361 121948 27421 27407 27286
1270	721507 134002 24373 24361 24205
1284	732447 134189 20465 20458 20384
1353	508216 89906 13873 13861 13815
1383	771946 145896 22519 22501 22400
1400	636025 155752 36422 36396 36194
1429	455314 101933 24369 24348 24243
1511	523149 89153 14753 14735 14653
1530	738290 125658 17408 17397 17324
2001	527519 107442 20702 20692 20602
2003	936187 181044 29820 29797 29681
2005	684989 125280 28121 28101 27953
2006	428011 101807 21659 21638 21514
2007	507826 126966 25503 25486 25336
2012	505812 109980 25089 25075 24987
2015	384194 65858 11325 11312 11253
2019	354526 77319 17102 17090 16995
2027	550412 113721 23572 23550 23433
2029	547674 141304 38072 38048 37871
2030	869641 175262 29223 29201 29073
2041	287024 53275 12124 12115 12055
2042	541809 97084 16804 16789 16711
2049	715430 171873 43190 43170 42902
2051	721807 143122 28752 28734 28605
2052	489502 90449 17137 17127 17022
2056	642962 119147 18562 18549 18461
2058	465970 117895 22809 22788 22665
2060	547794 102703 19127 19116 19029
2061	701040 136577 25794 25768 25637
2065	684028 157637 32307 32285 32128
2069	488442 92789 17679 17667 17564
2070	407336 102839 24139 24126 24007
2080	534081 116172 25229 25209 25055
2082	745140 133687 28340 28304 28142
2086	884360 184644 34074 34049 33933
2096	699807 141219 31834 31808 31635
2100	381418 105473 28804 28785 28655
2101	593162 173503 42411 42376 42167
2104	469502 114351 25137 25124 25021
2112	294203 56144 11958 11951 11840
2115	571543 141159 30680 30665 30499
2120	747970 167629 29540 29517 29402
2122	408050 69316 11210 11206 11151
2123	803557 131112 22416 22395 22292
2124	568683 126288 24507 24484 24342
2131	671827 150864 29120 29104 28973
2135	675690 126666 21868 21858 21741
2140	625369 105415 14997 14987 14926
2145	567490 117494 25205 25192 25094
2148	686879 129455 21414 21399 21309
2149	406269 79751 15143 15132 15059
2153	511491 121063 25288 25272 25162
2154	61422 12077 2251 2250 2248
2170	775820 158898 24063 24044 23946
2171	702689 170562 28180 28166 28043
2176	459698 111799 22829 22798 22652
2178	587597 140886 30073 30052 29832
2179	883350 140213 23230 23204 23092
2180	646827 132927 23123 23109 23034
2182	506102 105671 18352 18330 18234
2193	464839 97079 23546 23531 23419
2203	320565 58164 9291 9285 9233
2205	705712 146047 19793 19781 19672
2206	502577 95366 18815 18799 18716
2208	675017 148225 32934 32906 32784
2210	503655 111827 22052 22040 21911
2296	334759 69850 14435 14424 14369
2299	334901 70605 15562 15550 15435
2303	473169 123361 26106 26083 25935
2306	540157 114192 23858 23842 23695
2309	750456 107672 14472 14460 14398
2311	750822 198318 38732 38714 38518
2315	753151 131003 24857 24839 24711
2316	756370 227074 46582 46559 46355
2321	477933 92746 12845 12833 12782
2323	453311 101017 19841 19829 19724
2325	511920 130328 34565 34536 34396
2327	483293 95521 16715 16708 16601
2332	709470 118203 20760 20742 20651
2344	638690 121420 16877 16864 16781
2345	648924 131899 19494 19480 19401
2346	855802 182271 30560 30540 30403
2347	604433 125438 22344 22333 22197
2351	524887 101812 22417 22399 22294
2372	635359 137736 20800 20784 20689
2375	807598 179667 32240 32224 32105
2378	537063 139891 25847 25835 25672
2382	819518 133261 13816 13806 13744
2395	894367 167011 20861 20852 20762
2397	618509 94078 19362 19351 19266
2407	266804 36216 2751 2747 2731
2423	575664 113720 25437 25417 25304
2428	713930 170096 26122 26106 25988
2432	579553 120002 22014 21996 21855
3004	660351 183415 45946 45916 45676
3007	466051 122669 15425 15412 15280
3009	709012 134136 29282 29261 29116
3017	807019 165915 24224 24213 24113
3022	795016 174883 29633 29619 29513
3025	302603 65080 11763 11757 11720
3026	419941 92414 17033 17021 16900
3032	784393 137394 23189 23179 23047
3036	415721 94604 15947 15942 15893
3039	293846 67936 14868 14860 14775
3043	567541 137083 33423 33406 33249
3048	853626 177562 26632 26621 26508
3050	437198 95925 18792 18781 18643
3053	932418 158102 17298 17283 17200
3057	757427 146917 22280 22266 22182
3061	616889 134595 27370 27356 27215
3064	528593 132171 28636 28615 28447
3067	841781 165587 51405 51370 51159
3080	704123 144029 21115 21104 21024
3086	801811 149820 22303 22284 22208
3089	657950 126654 18334 18317 18237
3092	762962 166214 32541 32526 32305
3098	613909 104015 18764 18742 18667
3102	847048 137445 24045 24030 23944
3104	651992 96906 12378 12372 12313
3111	594373 135678 28409 28388 28240
3118	757530 155251 25784 25760 25693
3123	290509 54734 11271 11265 11199
3125	410006 67924 13357 13347 13256
3126	722245 138925 29233 29199 29031
3127	581988 125080 18942 18931 18870
3131	218860 46594 7658 7655 7610
3133	718583 159382 24337 24324 24235
3136	738635 131475 23850 23827 23702
3143	445976 116079 26900 26879 26690
3145	627675 106976 15221 15213 15154
3147	608510 99861 15124 15112 15044
3151	694003 153994 23895 23877 23781
3152	871794 176376 24572 24556 24464
3155	832221 200674 44984 44953 44785
3158	866992 199292 47549 47523 47334
3162	497104 126343 26728 26711 26550
3165	1071188 143462 14907 14898 14838
3167	561393 121055 29284 29266 29152
3181	675710 149268 22376 22361 22262
3182	521207 112299 21138 21119 21013
3202	982424 161909 20756 20747 20663
3203	644391 107875 14734 14712 14651
3208	684357 140477 30501 30486 30344
3209	849468 165706 28848 28827 28712
3210	741035 164340 25539 25525 25426
